fecha;LTM CI Equity;SQM/B CI Equity;COPEC CI Equity;SALFACORP CI Equity;VAPORES CI Equity;CAP CI Equity;BSAN CI Equity;CMPC CI Equity;FALAB CI Equity
31-12-2018;6934,2;27305;8327,8;990,8;19,72;6080;51,69;2206,1;5089,6
01-01-2019;6934,2;27305;8327,8;990,8;19,72;6080;51,69;2206,1;5089,6
02-01-2019;7180;27015;8400,9;977,1;19,99;6034;51,96;2191,3;5056,7
03-01-2019;7281,6;25901;8345,9;1007;19,69;6097,4;51,69;2160,4;5087,9
04-01-2019;7449,9;26690;8388,3;1023;20,18;6397,1;51,88;2195,8;5170,2
07-01-2019;7591;26943;8411,6;1029,5;19,88;6436,1;51,25;2136;5170,1
08-01-2019;7784,5;27969;8406,7;1041,9;19,97;6397,3;51,48;2113,3;5177,2
09-01-2019;7950,3;28136;8535,2;1031,9;20,15;6523,2;51,63;2151,1;5223
10-01-2019;7971,6;28174;8785,9;1040,3;20,29;6491,2;51,69;2202,9;5209,6
11-01-2019;7997,7;28592;8998,7;1055;20,2;6489,7;52,33;2270,6;5200,8
14-01-2019;7945;28751;9000;1050;19,94;6445;52,29;2255;5210
15-01-2019;7880;28630;9020;1040,3;19,85;6440;52,48;2294,9;5183
16-01-2019;7780;28649;9098;1045;19,84;6440;53;2360;5189,99
17-01-2019;7770;29000;9100;1050;19,93;6585;52,9;2384;5219,9
18-01-2019;8025;29000;9080;1081;20,17;6609,9;52,89;2394;5274
21-01-2019;7949,8;28820;9100;1090,6;20,06;6568,7;52,66;2384,5;5278
22-01-2019;7860;28689;8987;1068,4;19,8;6325;52,85;2354;5269
23-01-2019;7849;28395;8919;1044,9;19,63;6372,1;53,99;2379;5270
24-01-2019;7860;28400;9050;1055;19,51;6315;53,55;2380;5255
25-01-2019;7865;28384;9090;1045;19,56;6499;53,49;2424,8;5270
28-01-2019;7826,2;27944;9196;1050;19,44;6798;53,59;2420,8;5200
29-01-2019;7855;27900;9060;1051,8;19,6;6944;53,5;2388;5175
30-01-2019;7700;27900;9100;1042,6;19,5;7144;52,8;2348,2;5249,9
31-01-2019;7839;27950;9000;1054,8;19,5;7079,8;52,9;2370;5265
01-02-2019;7750;27698;9299;1066;19,52;7192;52,57;2450;5280
04-02-2019;7909,6;27993;9349;1059,6;19,57;7140,3;53;2472;5271,1
05-02-2019;7915,9;27878;9326,9;1049,7;20,34;7100;53;2481;5247,9
06-02-2019;7650;28000;9250;1048,3;20,5;7260;52,72;2427;5220
