Fecha;Número de confirmados;Media móvil semanal
03-03-2020;0;0
04-03-2020;2;0
05-03-2020;1;0
06-03-2020;1;0
07-03-2020;2;0
08-03-2020;3;0
09-03-2020;5;2.0
10-03-2020;2;2.3
11-03-2020;6;2.9
12-03-2020;10;4.1
13-03-2020;10;5.4
14-03-2020;18;7.7
15-03-2020;14;9.3
16-03-2020;81;20.1
17-03-2020;45;26.3
18-03-2020;37;30.7
19-03-2020;104;44.1
20-03-2020;92;55.9
21-03-2020;103;68.0
22-03-2020;95;79.6
23-03-2020;114;84.3
24-03-2020;176;103.0
25-03-2020;220;129.1
26-03-2020;164;137.7
27-03-2020;304;168.0
28-03-2020;299;196.0
29-03-2020;230;215.3
30-03-2020;310;243.3
31-03-2020;289;259.4
01-04-2020;293;269.9
02-04-2020;373;299.7
03-04-2020;333;303.9
04-04-2020;424;321.7
05-04-2020;310;333.1
06-04-2020;344;338.0
07-04-2020;301;339.7
08-04-2020;430;359.3
09-04-2020;426;366.9
10-04-2020;529;394.9
11-04-2020;426;395.1
12-04-2020;286;391.7
13-04-2020;312;387.1
14-04-2020;392;400.1
15-04-2020;356;389.6
16-04-2020;534;405.0
17-04-2020;445;393.0
18-04-2020;478;400.4
19-04-2020;358;410.7
20-04-2020;419;426.0
21-04-2020;325;416.4
22-04-2020;464;431.9
23-04-2020;516;429.3
24-04-2020;494;436.3
25-04-2020;552;446.9
26-04-2020;473;463.3
27-04-2020;482;472.3
28-04-2020;552;504.7
29-04-2020;770;548.4
30-04-2020;888;601.6
01-05-2020;985;671.7
02-05-2020;1427;796.7
03-05-2020;1228;904.6
04-05-2020;980;975.7
05-05-2020;1317;1085.0
06-05-2020;1032;1122.4
07-05-2020;1533;1214.6
08-05-2020;1391;1272.6
09-05-2020;1247;1246.9
10-05-2020;1647;1306.7
11-05-2020;1197;1337.7
12-05-2020;1658;1386.4
13-05-2020;2660;1619.0
14-05-2020;2659;1779.9
15-05-2020;2502;1938.6
16-05-2020;1886;2029.9
17-05-2020;2353;2130.7
18-05-2020;2278;2285.1
19-05-2020;3520;2551.1
20-05-2020;4038;2748.0
21-05-2020;3964;2934.4
22-05-2020;4276;3187.9
23-05-2020;3536;3423.6
24-05-2020;3709;3617.3
25-05-2020;4895;3991.1
26-05-2020;3964;4054.6
27-05-2020;4328;4096.0
28-05-2020;4654;4194.6
29-05-2020;3695;4111.6
30-05-2020;4220;4209.3
31-05-2020;4830;4369.4
01-06-2020;5471;4451.7
02-06-2020;3527;4389.3
03-06-2020;4942;4477.0
04-06-2020;4664;4478.4
05-06-2020;4207;4551.6
06-06-2020;5246;4698.1
07-06-2020;6405;4923.1
08-06-2020;4696;4812.4
09-06-2020;3913;4867.6
10-06-2020;5737;4981.1
11-06-2020;5596;5114.3
12-06-2020;6754;5478.1
13-06-2020;6509;5658.6
14-06-2020;6938;5734.7
15-06-2020;5143;5798.6
16-06-2020;5013;5955.7
17-06-2020;4757;5815.7
18-06-2020;4475;5655.6
19-06-2020;6290;5589.3
20-06-2020;5355;5424.4
21-06-2020;5607;5234.3
22-06-2020;4608;5157.9
23-06-2020;3804;4985.1
24-06-2020;3649;4826.9
25-06-2020;4648;4851.6
26-06-2020;4296;4566.7
27-06-2020;4406;4431.1
28-06-2020;4216;4232.4
29-06-2020;4017.0;4148.0
30-06-2020;3394.0;4089.4
01-07-2020;2650;3946.7
02-07-2020;2498;3639.6
03-07-2020;3548;3532.7
04-07-2020;3758;3440.1
05-07-2020;3685;3364.3
06-07-2020;3025;3222.6
07-07-2020;2462;3089.4
08-07-2020;2064;3005.7
09-07-2020;3133;3096.4
10-07-2020;3058;3026.4
11-07-2020;2755;2883.1
12-07-2020;3012;2787.0
13-07-2020;2616;2728.6
14-07-2020;1836;2639.1
15-07-2020;1712;2588.9
16-07-2020;2475;2494.9
17-07-2020;2840;2463.7
18-07-2020;2185;2382.3
19-07-2020;2082;2249.4
20-07-2020;2099;2175.6
21-07-2020;1656;2149.9
22-07-2020;1741;2154.0
23-07-2020;2371;2139.1
24-07-2020;2545;2097.0
25-07-2020;2287;2111.6
26-07-2020;2198;2128.1
27-07-2020;2133;2133.0
28-07-2020;1876;2164.4
29-07-2020;1773;2169.0
30-07-2020;1948;2108.6
31-07-2020;2123;2048.3
01-08-2020;1979;2004.3
02-08-2020;2081;1987.6
03-08-2020;1762;1934.6
04-08-2020;1462;1875.4
05-08-2020;1781;1876.6
06-08-2020;1947;1876.4
07-08-2020;2149;1880.1
08-08-2020;2201;1911.9
09-08-2020;2036;1905.4
10-08-2020;1988;1937.7
11-08-2020;1566;1952.6
12-08-2020;1540;1918.1
13-08-2020;1852;1904.6
14-08-2020;2077;1894.3
15-08-2020;1777;1833.7
16-08-2020;2086;1840.9
17-08-2020;1556;1779.1
18-08-2020;1336;1746.3
19-08-2020;1233;1702.4
20-08-2020;1813;1696.9
21-08-2020;1920;1674.4
22-08-2020;1926;1695.7
23-08-2020;1942;1675.1
24-08-2020;1903;1724.7
25-08-2020;1406;1734.7
26-08-2020;1371;1754.4
27-08-2020;1739;1743.9
28-08-2020;1868;1736.4
29-08-2020;2033;1751.7
30-08-2020;1966;1755.1
31-08-2020;1753;1733.7
01-09-2020;1415;1735.0
02-09-2020;1582;1765.1
03-09-2020;1758;1767.9
04-09-2020;1965;1781.7
05-09-2020;1961;1771.4
06-09-2020;2077;1787.3
07-09-2020;1764;1788.9
08-09-2020;1263;1767.1
09-09-2020;1482;1752.9
10-09-2020;1639;1735.9
11-09-2020;1860;1720.9
12-09-2020;2135;1745.7
13-09-2020;2082;1746.4
14-09-2020;1685;1735.1
15-09-2020;1536;1774.1
16-09-2020;1305;1748.9
17-09-2020;1860;1780.4
18-09-2020;1673;1753.7
19-09-2020;1848;1712.7
20-09-2020;1600;1643.9
21-09-2020;1194;1573.7
22-09-2020;1054;1504.9
23-09-2020;1372;1514.4
24-09-2020;1731;1496.0
25-09-2020;2222;1574.4
26-09-2020;2109;1611.7
27-09-2020;1923;1657.9
28-09-2020;1770;1740.1
29-09-2020;1622;1821.3
30-09-2020;1684;1865.9
01-10-2020;1760;1870.0
02-10-2020;1839;1815.3
03-10-2020;1880;1782.6
04-10-2020;1708;1751.9
05-10-2020;1567;1722.9
06-10-2020;1554;1713.1
07-10-2020;1131;1634.1
08-10-2020;1575;1607.7
09-10-2020;1750;1595.0
10-10-2020;1824;1587.0
11-10-2020;1776;1596.7
12-10-2020;1517;1589.6
13-10-2020;1392;1566.4
14-10-2020;1089;1560.4
15-10-2020;1122;1495.7
16-10-2020;1689;1487.0
17-10-2020;1811;1485.1
18-10-2020;1759;1482.7
19-10-2020;1545;1486.7
20-10-2020;1099;1444.9
21-10-2020;1152;1453.9
22-10-2020;1495;1507.1
23-10-2020;1773;1519.1
24-10-2020;1631;1493.4
25-10-2020;1540;1462.1
26-10-2020;1505;1456.4
27-10-2020;922;1431.1
28-10-2020;1004;1410.0
29-10-2020;1519;1413.4
30-10-2020;1529;1378.6
31-10-2020;1686;1386.4
01-11-2020;1607;1396.0
02-11-2020;1314;1368.7
03-11-2020;1009;1381.1
04-11-2020;846;1358.6
05-11-2020;1540;1361.6
06-11-2020;1801;1400.4
07-11-2020;1568;1383.6
08-11-2020;1576;1379.1
09-11-2020;1318;1379.7
10-11-2020;1083;1390.3
11-11-2020;904;1398.6
12-11-2020;1631;1411.6
